Country,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower,Confirmed,Death,,Continent,Population,,Contry,Populatio,Continen
Sudan,3,Both,22,All Ages,294,All causes,1,Number,2019,202165.3763,235449.7814,173550.8795,202166,235450,,Africa,43849269,,Somalia,15893219,Africa
Suriname,3,Both,22,All Ages,294,All causes,1,Number,2019,4370.586316,5091.649029,3751.009658,4371,5092,,South America,586634,,South Africa,59308690,Africa
Sweden,3,Both,22,All Ages,294,All causes,1,Number,2019,93801.16794,94968.13232,92740.0252,93802,94969,,Europe,10099270,,South Sudan,11193729,Africa
Switzerland,3,Both,22,All Ages,294,All causes,1,Number,2019,69816.83592,71375.68943,68366.52638,69817,71376,,Europe,8654618,,Spain,46754783,Europe
Taiwan,3,Both,22,All Ages,294,All causes,1,Number,2019,185365.1553,231575.8725,150584.1226,185366,231576,,Asia,23816775,,Sri Lanka,21413250,Asia
Tajikistan,3,Both,22,All Ages,294,All causes,1,Number,2019,48702.90568,57905.6493,41258.72633,48703,57906,,Asia,9537642,,Sudan,43849269,Africa
Thailand,3,Both,22,All Ages,294,All causes,1,Number,2019,497502.3509,628041.934,389256.782,497503,628042,,Asia,69799978,,Suriname,586634,South America
Togo,3,Both,22,All Ages,294,All causes,1,Number,2019,53555.20618,62972.89933,45632.60981,53556,62973,,Africa,8278737,,Sweden,10099270,Europe
Trinidad and Tobago,3,Both,22,All Ages,294,All causes,1,Number,2019,11765.05463,14952.24759,9167.266599,11766,14953,,North America,1399491,,Switzerland,8654618,Europe
Tunisia,3,Both,22,All Ages,294,All causes,1,Number,2019,67618.31432,85426.14378,53063.07914,67619,85427,,Africa,11818618,,Syria,17500657,Asia
Turkey,3,Both,22,All Ages,294,All causes,1,Number,2019,454742.0549,536629.834,382103.6069,454743,536630,,Asia,84339067,,Taiwan,23816775,Asia
Ukraine,3,Both,22,All Ages,294,All causes,1,Number,2019,698662.8325,796913.2302,615471.9017,698663,796914,,Europe,43733759,,Tajikistan,9537642,Asia
United Arab Emirates,3,Both,22,All Ages,294,All causes,1,Number,2019,29113.02119,37347.46736,22477.79224,29114,37348,,Asia,9890400,,Tanzania,56320000,Africa
United Kingdom,3,Both,22,All Ages,294,All causes,1,Number,2019,621814.6442,627195.8602,616814.8543,621815,627196,,Europe,67886004,,Thailand,69799978,Asia
Tanzania,3,Both,22,All Ages,294,All causes,1,Number,2019,354350.9842,408305.3401,312213.793,354351,408306,,Africa,56320000,,Togo,8278737,Africa
United States,3,Both,22,All Ages,294,All causes,1,Number,2019,2946455.755,2968832.318,2924325.158,2946456,2968833,,North America,331002647,,Trinidad and Tobago,1399491,North America
Uruguay,3,Both,22,All Ages,294,All causes,1,Number,2019,33847.27926,34774.81258,33004.02177,33848,34775,,South America,3473727,,Tunisia,11818618,Africa
Uzbekistan,3,Both,22,All Ages,294,All causes,1,Number,2019,203598.8563,235384.0706,175690.9431,203599,235385,,Asia,33469199,,Turkey,84339067,Asia
Venezuela,3,Both,22,All Ages,294,All causes,1,Number,2019,186929.2755,236980.8142,146795.7566,186930,236981,,South America,28435943,,Uganda,45741000,Africa
VietNam,3,Both,22,All Ages,294,All causes,1,Number,2019,631817.5709,714078.8817,538099.658,631818,714079,,Asia,97338583,,Ukraine,43733759,Europe
Yemen,3,Both,22,All Ages,294,All causes,1,Number,2019,174541.93,209931.8634,147973.8118,174542,209932,,Asia,29825968,,United Arab Emirates,9890400,Asia
